country,year,Renewable_Electricity_Output,Renewable_Energy_Consumption,EG.ELC.ACCS.ZS,GDP_Per_Capita,GDP_Growth,Year,Country,Region_Type,YoY_Change
Andorra,2010,88.7311446317657,18.7,100.0,44902.3807663645,-1.97495799965345,2010,Andorra,Other,
Andorra,2011,86.5131578947369,18.6,100.0,44902.3807663645,-0.0080697534113909,2011,Andorra,Other,-2.217986737028795
Andorra,2012,86.6894197952219,18.8,100.0,44902.3807663645,-4.97444371853503,2012,Andorra,Other,0.17626190048498813
Andorra,2013,88.7532693984307,19.1,100.0,44747.7538641695,-3.54759651549344,2013,Andorra,Other,2.0638496032088085
Andorra,2014,89.4321766561514,19.4,100.0,45680.5349920165,2.50446552114518,2014,Andorra,Other,0.6789072577206952
Andorra,2015,86.1167002012072,19.0,100.0,38885.5303222983,1.43414039522716,2015,Andorra,Other,-3.3154764549442035
Andorra,2016,86.1167002012072,18.9,100.0,39931.2169800216,3.70967806978986,2016,Andorra,Other,0.0
Andorra,2017,86.1167002012072,18.0,100.0,40632.2315521995,0.346071889630295,2017,Andorra,Other,0.0
Andorra,2018,86.1167002012072,17.6,100.0,42904.8284559223,1.58876549046354,2018,Andorra,Other,0.0
Andorra,2019,86.1167002012072,17.2,100.0,41328.6004978373,2.01554763848308,2019,Andorra,Other,0.0
Andorra,2020,86.1167002012072,20.9,100.0,37207.2219994994,2.01554763848308,2020,Andorra,Other,0.0
Andorra,2021,86.1167002012072,18.4,100.0,42066.4905178822,8.28719978108489,2021,Andorra,Other,0.0
Andorra,2022,86.1167002012072,18.7,100.0,42350.6970690874,9.56379752740844,2022,Andorra,Other,0.0
Angola,2010,67.9574233804368,53.1,35.0,3586.66369358621,4.39837593810763,2010,Angola,Other,
Angola,2011,70.9078039285082,51.7,34.6,4608.15516572683,3.47205314798103,2011,Angola,Other,2.950380548071408
Angola,2012,60.7994842037395,49.0,37.3,5083.82687346735,8.54210707584141,2012,Angola,Other,-10.108319724768698
Angola,2013,58.0209347614411,46.8,38.4,5061.34925297484,4.95461303112738,2013,Angola,Other,-2.778549442298406
Angola,2014,53.1751054852321,47.5,32.0,5011.9844274536,4.82255926962156,2014,Angola,Other,-4.845829276208995
Angola,2015,53.1749283080705,47.1,42.0,3217.33924005417,0.943571561325001,2015,Angola,Other,-0.00017717716160348118
Angola,2016,53.1749283080705,48.1,41.8,1809.70937719455,-2.5801112218828,2016,Angola,Other,0.0
Angola,2017,53.1749283080705,52.5,42.9,2439.37443934002,-0.147149825449205,2017,Angola,Other,0.0
Angola,2018,53.1749283080705,52.5,45.3,2540.50887884546,-1.31636168896895,2018,Angola,Other,0.0
Angola,2019,53.1749283080705,51.0,45.6,2191.34776433537,-0.702272957616017,2019,Angola,Other,0.0
Angola,2020,53.1749283080705,60.1,47.0,1450.90511139418,-5.63821471714934,2020,Angola,Other,0.0
Angola,2021,53.1749283080705,52.9,48.2,1927.47407827687,1.19921052145153,2021,Angola,Other,0.0
Angola,2022,53.1749283080705,52.9,48.5,2933.48464381415,3.04540300954928,2022,Angola,Other,0.0
Antigua and Barbuda,2010,1.49476831091181,0.0,98.7,15149.7235026029,-7.84043006330508,2010,Antigua and Barbuda,Other,
Antigua and Barbuda,2011,1.49700598802395,0.1,94.6,14774.0321811278,-1.95872181050282,2011,Antigua and Barbuda,Other,0.0022376771121399575
Antigua and Barbuda,2012,0.0,0.1,100.0,15136.8411091932,3.37283525153347,2012,Antigua and Barbuda,Other,-1.49700598802395
Antigua and Barbuda,2013,0.0,0.1,100.0,14977.0718321065,-0.600715511931753,2013,Antigua and Barbuda,Other,0.0
Antigua and Barbuda,2014,0.0,0.1,100.0,15451.4952444039,2.21145251322996,2014,Antigua and Barbuda,Other,0.0
Antigua and Barbuda,2015,0.0,0.4,100.0,15985.5411386971,1.44515529873077,2015,Antigua and Barbuda,Other,0.0
Antigua and Barbuda,2016,0.0,0.4,100.0,16449.0591470407,4.09976553877765,2016,Antigua and Barbuda,Other,0.0
Antigua and Barbuda,2017,0.0,0.4,100.0,16803.8702340001,2.46333336590416,2017,Antigua and Barbuda,Other,0.0
Antigua and Barbuda,2018,0.0,0.7,100.0,18133.8226008953,6.95318609219737,2018,Antigua and Barbuda,Other,0.0
Antigua and Barbuda,2019,0.0,0.7,100.0,18730.0047966374,3.10044514982847,2019,Antigua and Barbuda,Other,0.0
Antigua and Barbuda,2020,0.0,0.9,100.0,15224.8585890561,3.10044514982847,2020,Antigua and Barbuda,Other,0.0
Antigua and Barbuda,2021,0.0,0.9,100.0,17178.5437160522,8.1917184618173,2021,Antigua and Barbuda,Other,0.0
Antigua and Barbuda,2022,0.0,0.9,100.0,19919.7266867883,9.51639564359461,2022,Antigua and Barbuda,Other,0.0
Arab World,2010,3.85400991246685,4.82576885189732,87.495802967053,5911.3303946217,4.81457026982723,2010,Arab World,Middle East,
Arab World,2011,3.54976563509352,4.67272069134643,87.7123626631765,6874.84318714055,3.57287691238142,2011,Arab World,Middle East,-0.30424427737333026
Arab World,2012,3.48121852231759,4.44968668236096,87.4018518284057,7344.63076389533,5.0035800868469,2012,Arab World,Middle East,-0.06854711277592962
Arab World,2013,3.77038496124868,4.48401776900296,89.3442514087556,7344.23105138547,2.52000765718397,2013,Arab World,Middle East,0.28916643893108995
Arab World,2014,3.2780734203655,4.35892992996109,88.8342958618003,7300.59977114317,2.38370544220714,2014,Arab World,Middle East,-0.49231154088317997
Arab World,2015,2.92070168610513,4.22349500938588,89.0475351878897,6258.60722652973,3.38756030711494,2015,Arab World,Middle East,-0.3573717342603704
Arab World,2016,2.92070168610513,4.28791485864165,89.5411657691967,6022.88281755523,3.60944655086158,2016,Arab World,Middle East,0.0
Arab World,2017,2.92070168610513,4.37567300633967,90.6663018742983,6068.60300810317,1.51128390704507,2017,Arab World,Middle East,0.0
Arab World,2018,2.92070168610513,4.52639402004232,89.1692812379426,6624.83465856668,2.62315703654876,2018,Arab World,Middle East,0.0
Arab World,2019,2.92070168610513,4.73230713602678,90.3581538695401,6565.98083975861,1.67111088873453,2019,Arab World,Middle East,0.0
Arab World,2020,2.92070168610513,5.13858498417462,90.6384870529171,5735.50986687093,-5.40097921653559,2020,Arab World,Middle East,0.0
Arab World,2021,2.92070168610513,5.13858498417462,90.8493820461977,6503.79337634305,5.11664702876513,2021,Arab World,Middle East,0.0
Arab World,2022,2.92070168610513,5.13858498417462,91.0264045161148,7776.62937958481,5.79310898501694,2022,Arab World,Middle East,0.0
Argentina,2010,28.5854562001549,8.8,98.8,10385.9644319555,10.1253981561002,2010,Argentina,Other,
Argentina,2011,32.305970437266,8.8,99.0,12848.7391514568,6.00395169280579,2011,Argentina,Other,3.7205142371110966
Argentina,2012,29.2611353196635,8.6,99.1,13082.664325572,-1.0264204544321,2012,Argentina,Other,-3.0448351176024993
Argentina,2013,31.4844907174391,8.9,99.3,13080.2547323367,2.40532378079436,2013,Argentina,Other,2.2233553977756024
Argentina,2014,31.5762041956827,9.8,100.0,12334.7982453893,-2.51261532081394,2014,Argentina,Other,0.09171347824359799
Argentina,2015,28.1400691239471,9.4,99.7,13789.060424772,2.73115982828944,2015,Argentina,Other,-3.436135071735599
Argentina,2016,28.1400691239471,9.4,99.9,12790.2641396135,-2.08032784377811,2016,Argentina,Other,0.0
Argentina,2017,28.1400691239471,10.4,100.0,14613.0356486571,2.81850297775918,2017,Argentina,Other,0.0
Argentina,2018,28.1400691239471,10.5,100.0,11795.1627452798,-2.61739646282038,2018,Argentina,Other,0.0
Argentina,2019,28.1400691239471,10.7,100.0,9963.67416171662,-2.00086100285785,2019,Argentina,Other,0.0
Argentina,2020,28.1400691239471,9.8,100.0,8500.83793850534,-2.00086100285785,2020,Argentina,Other,0.0
Argentina,2021,28.1400691239471,9.2,100.0,10650.8604604345,10.7180099337095,2021,Argentina,Other,0.0
Argentina,2022,28.1400691239471,9.2,100.0,13650.6046294524,4.95636996008236,2022,Argentina,Other,0.0
Armenia,2010,39.4854413803728,9.4,99.8,3143.0294799683,2.2000000002151,2010,Armenia,Other,
Armenia,2011,33.5397039030956,8.0,99.5,3462.68177840431,4.69999999867412,2011,Armenia,Other,-5.9457374772771985
Armenia,2012,28.9447486311598,6.6,99.5,3643.71540108565,7.20000000096486,2012,Armenia,Other,-4.594955271935799
Armenia,2013,28.2360570687419,6.8,99.4,3833.15707396348,3.3,2013,Armenia,Other,-0.7086915624179007
Armenia,2014,25.7548387096774,7.1,99.7,4017.22991449473,3.60000000058993,2014,Armenia,Other,-2.481218359064499
Armenia,2015,28.3369662777279,10.7,100.0,3666.14182210905,3.19999999896625,2015,Armenia,Other,2.582127568050499
Armenia,2016,28.3369662777279,13.2,99.8,3679.95234740376,0.199999999825991,2016,Armenia,Other,0.0
Armenia,2017,28.3369662777279,12.6,99.7,4041.99507105058,7.50000000164144,2017,Armenia,Other,0.0
Armenia,2018,28.3369662777279,11.1,99.9,4391.92326991474,5.19999999965324,2018,Armenia,Other,0.0
Armenia,2019,28.3369662777279,10.3,100.0,4828.50488626598,7.59999999853918,2019,Armenia,Other,0.0
Armenia,2020,28.3369662777279,8.4,100.0,4505.86774175695,-7.19999999920631,2020,Armenia,Other,0.0
Armenia,2021,28.3369662777279,9.1,100.0,4972.78320361917,5.80000000065645,2021,Armenia,Other,0.0
Armenia,2022,28.3369662777279,9.1,100.0,7018.05150434798,12.5999999997766,2022,Armenia,Other,0.0
Aruba,2010,11.3273771537971,5.5,93.4,24452.5887394376,-2.73345679250639,2010,Aruba,Other,
Aruba,2011,12.101020956475,5.7,100.0,26043.1563253011,3.36923718421511,2011,Aruba,Other,0.7736438026779009
Aruba,2012,14.9152542372881,6.9,100.0,25611.1757666902,-1.04079988436683,2012,Aruba,Other,2.8142332808130988
Aruba,2013,14.9121861868333,6.9,100.0,26514.8689800777,6.43148260418822,2013,Aruba,Other,-0.0030680504548001863
Aruba,2014,15.0992799476326,6.9,100.0,26940.2641144313,-1.58657513817235,2014,Aruba,Other,0.18709376079929996
Aruba,2015,14.8561614426793,6.7,100.0,28419.2645344661,-0.623625902371245,2015,Aruba,Other,-0.24311850495329956
Aruba,2016,14.8561614426793,7.0,100.0,28449.7129463044,1.71962497989442,2016,Aruba,Other,0.0
Aruba,2017,14.8561614426793,6.8,100.0,29329.0817465959,7.04853338603499,2017,Aruba,Other,0.0
Aruba,2018,14.8561614426793,8.6,100.0,30918.483584133,2.38173018636276,2018,Aruba,Other,0.0
Aruba,2019,14.8561614426793,8.3,100.0,31902.8098183195,-2.3028363027198,2019,Aruba,Other,0.0
Aruba,2020,14.8561614426793,9.1,100.0,24008.1278217477,-2.3028363027198,2020,Aruba,Other,0.0
Aruba,2021,14.8561614426793,8.8,100.0,29127.7593841909,-2.3028363027198,2021,Aruba,Other,0.0
Aruba,2022,14.8561614426793,8.8,99.9,33300.8388187011,10.45831735343,2022,Aruba,Other,0.0
Australia,2010,8.61187962842023,8.2,100.0,,2.22653807797504,2010,Australia,Other,
Australia,2011,10.4266522781963,8.3,100.0,,2.40897178005686,2011,Australia,Other,1.8147726497760708
Australia,2012,10.5926533603071,8.3,100.0,,3.91840962538336,2012,Australia,Other,0.16600108211079956
Australia,2013,13.2641083883167,9.2,100.0,,2.60619844706027,2013,Australia,Other,2.6714550280096
Australia,2014,14.9067122095833,9.3,100.0,,2.60740103188527,2014,Australia,Other,1.6426038212666008
Australia,2015,13.6378410946741,9.4,100.0,,2.20181015336807,2015,Australia,Other,-1.2688711149092011
Australia,2016,13.6378410946741,9.6,100.0,,2.77914262537222,2016,Australia,Other,0.0
Australia,2017,13.6378410946741,9.9,100.0,,2.31870938698817,2017,Australia,Other,0.0
Australia,2018,13.6378410946741,9.8,100.0,,2.90636311509867,2018,Australia,Other,0.0
Australia,2019,13.6378410946741,10.3,100.0,,2.1811091061096,2019,Australia,Other,0.0
Australia,2020,13.6378410946741,11.2,100.0,,-0.33468635945016,2020,Australia,Other,0.0
Australia,2021,13.6378410946741,12.3,100.0,,2.11183088925151,2021,Australia,Other,0.0
Australia,2022,13.6378410946741,12.3,100.0,,4.26894639349867,2022,Australia,Other,0.0
Austria,2010,66.2113227544381,31.1,100.0,44195.8175947748,1.83709367680054,2010,Austria,Other,
Austria,2011,65.6314234326824,31.6,100.0,44195.8175947748,2.92279728368581,2011,Austria,Other,-0.579899321755704
Austria,2012,74.5291806141755,34.4,100.0,44195.8175947748,0.680445576816723,2012,Austria,Other,8.897757181493105
Austria,2013,78.0247869868319,34.6,100.0,44195.8175947748,0.0255047121972183,2013,Austria,Other,3.495606372656397
Austria,2014,81.0568683458842,35.7,100.0,44195.8175947748,0.661272848852605,2014,Austria,Other,3.032081359052299
Austria,2015,76.4907792691417,34.8,100.0,44195.8175947748,1.01450158590511,2015,Austria,Other,-4.5660890767425
Austria,2016,76.4907792691417,34.6,100.0,45307.5878620429,1.98943716230463,2016,Austria,Other,0.0
Austria,2017,76.4907792691417,34.0,100.0,45307.5878620429,2.25857243250671,2017,Austria,Other,0.0
Austria,2018,76.4907792691417,34.1,100.0,45307.5878620429,2.42538536088061,2018,Austria,Other,0.0
Austria,2019,76.4907792691417,34.0,100.0,45307.5878620429,1.45052918393192,2019,Austria,Other,0.0
Austria,2020,76.4907792691417,35.8,100.0,45307.5878620429,-6.63299143662553,2020,Austria,Other,0.0
Austria,2021,76.4907792691417,36.0,100.0,45307.5878620429,4.23786673253257,2021,Austria,Other,0.0
Austria,2022,76.4907792691417,36.0,100.0,45307.5878620429,4.80643020178459,2022,Austria,Other,0.0
Azerbaijan,2010,18.4233030464992,4.4,99.9,5843.5337683582,5.04894451349574,2010,Azerbaijan,Other,
Azerbaijan,2011,13.1861633980487,3.5,99.9,7189.81869211976,0.10000013782458,2011,Azerbaijan,Other,-5.2371396484504995
Azerbaijan,2012,7.92152427353402,2.8,100.0,7495.86527658099,2.1652394748416,2012,Azerbaijan,Other,-5.26463912451468
Azerbaijan,2013,6.67123404984157,2.5,100.0,7875.34536661549,5.80980084268208,2013,Azerbaijan,Other,-1.25029022369245
Azerbaijan,2014,5.62924619864122,2.1,100.0,7890.84028062087,2.75050681535518,2014,Azerbaijan,Other,-1.04198785120035
Azerbaijan,2015,7.0398574206092,2.3,100.0,5500.50364628486,1.09397591627469,2015,Azerbaijan,Other,1.4106112219679803
Azerbaijan,2016,7.0398574206092,1.9,100.0,3880.6852276838,-3.09999988037266,2016,Azerbaijan,Other,0.0
Azerbaijan,2017,7.0398574206092,1.9,100.0,4147.1981423222,0.199999938958655,2017,Azerbaijan,Other,0.0
Azerbaijan,2018,7.0398574206092,1.9,100.0,4739.7943123408,1.49999999999999,2018,Azerbaijan,Other,0.0
Azerbaijan,2019,7.0398574206092,1.7,100.0,4805.75371765917,2.50000006743734,2019,Azerbaijan,Other,0.0
Azerbaijan,2020,7.0398574206092,1.3,100.0,4229.91064904503,-4.30000010230737,2020,Azerbaijan,Other,0.0
Azerbaijan,2021,7.0398574206092,1.3,100.0,5408.04535175023,5.61645102853028,2021,Azerbaijan,Other,0.0
Azerbaijan,2022,7.0398574206092,1.3,100.0,7770.594223351,4.71480236521231,2022,Azerbaijan,Other,0.0
"Bahamas, The",2010,0.0,1.3,100.0,27046.6576651879,1.53866248693835,2010,"Bahamas, The",Other,
"Bahamas, The",2011,0.0,1.4,100.0,26644.9265775896,0.613170735890648,2011,"Bahamas, The",Other,0.0
"Bahamas, The",2012,0.0,1.4,100.0,28059.6553953426,2.99790320655973,2012,"Bahamas, The",Other,0.0
"Bahamas, The",2013,0.0,1.4,100.0,26956.5668352133,-2.86330925726089,2013,"Bahamas, The",Other,0.0
"Bahamas, The",2014,0.0,1.4,100.0,28201.556802208,1.84726084348846,2014,"Bahamas, The",Other,0.0
"Bahamas, The",2015,0.0,1.4,100.0,29722.4068429349,0.996758610594114,2015,"Bahamas, The",Other,0.0
"Bahamas, The",2016,0.0,1.2,100.0,29661.1410792573,-0.961908776858536,2016,"Bahamas, The",Other,0.0
"Bahamas, The",2017,0.0,1.1,100.0,30666.8838654704,2.79951863934495,2017,"Bahamas, The",Other,0.0
"Bahamas, The",2018,0.0,1.1,100.0,31389.9269978552,2.62988985993933,2018,"Bahamas, The",Other,0.0
"Bahamas, The",2019,0.0,1.1,100.0,32173.9581814182,-1.35726520928898,2019,"Bahamas, The",Other,0.0
"Bahamas, The",2020,0.0,1.4,100.0,24499.1647620617,-1.35726520928898,2020,"Bahamas, The",Other,0.0
"Bahamas, The",2021,0.0,1.1,100.0,27871.3723259771,-1.35726520928898,2021,"Bahamas, The",Other,0.0
"Bahamas, The",2022,0.0,1.1,100.0,32041.2503902591,10.7820132001503,2022,"Bahamas, The",Other,0.0
Bahrain,2010,0.0,0.0,100.0,21186.8143292279,4.33429917283131,2010,Bahrain,Other,
Bahrain,2011,0.0,0.0,100.0,23741.5574626702,1.98351501159991,2011,Bahrain,Other,0.0
Bahrain,2012,0.0,0.0,100.0,25102.726348527,3.72810843046017,2012,Bahrain,Other,0.0
Bahrain,2013,0.0,0.0,100.0,25790.7303121382,5.41683981012071,2013,Bahrain,Other,0.0
Bahrain,2014,0.0,0.0,100.0,25464.760097715,4.35039085252969,2014,Bahrain,Other,0.0
Bahrain,2015,0.0,0.0,100.0,22850.6653959938,2.86304730414378,2015,Bahrain,Other,0.0
Bahrain,2016,0.0,0.0,100.0,22877.9351764172,3.47351657476945,2016,Bahrain,Other,0.0
Bahrain,2017,0.0,0.0,100.0,24315.4975906804,3.8117061903064,2017,Bahrain,Other,0.0
Bahrain,2018,0.0,0.0,100.0,25415.8466249472,2.28945960664879,2018,Bahrain,Other,0.0
Bahrain,2019,0.0,0.0,100.0,25869.1129129041,2.1669646688237,2019,Bahrain,Other,0.0
Bahrain,2020,0.0,0.0,100.0,23433.1872362574,-4.64463735878491,2020,Bahrain,Other,0.0
Bahrain,2021,0.0,0.0,100.0,26850.0033915702,2.59040783827855,2021,Bahrain,Other,0.0
